2000000,29734,34803,31423,33122,33142,13175,15747861,11736276
2000000,31423,33113,31414,34803,31435,13175,13341930,15426764
2000000,32542,31435,33103,29752,34802,11486,14132065,15333616
2000000,31436,33113,31435,34814,33109,11486,13814817,11101130
2000000,33147,32611,33113,33105,33118,13175,14537178,11741518
2000000,31432,29726,33124,31435,34797,11495,12986361,15598885
2000000,28064,31428,34792,34819,31424,13175,14046809,12533441
2000000,33124,31425,31426,31432,29773,13175,14726755,12266158
2000000,29743,31415,29725,31416,29745,11486,12311751,11826086
2000000,28050,33104,31436,33122,33113,13175,13122776,11815456
2000000,29761,31423,33117,31425,34793,11486,16003344,11420337
2000000,33130,29735,34801,29736,31432,11486,14139717,11747311
2000000,33112,31415,31185,29736,33108,13184,14879255,12234626
2000000,33121,33113,31438,33110,33104,11495,13125290,12343724
2000000,34812,33131,29725,34794,29735,12806,15703993,18740403
2000000,29744,33122,29739,31416,29726,13175,14449925,12087750
2000000,29744,34812,30014,33114,34811,14557,12936614,18485654
2000000,36494,31415,33121,34806,29735,13175,13900336,14954472
2000000,33448,31465,33121,31445,33114,13175,14184864,14734286
2000000,31423,33108,33068,34794,34802,11486,17560326,17757342
