500000,8724,8716,12095,10405,8721,10406,8716,8716,10412,10414,10405,11357,10414,8717,10414,13154,8721,8731,8717,8715,8726,4482,13484855,10768176
500000,7035,12094,10406,10405,8716,8717,10405,8728,10406,8716,8729,8715,10406,10406,8735,8728,8717,8717,8717,12110,8725,4482,13651783,10311101
500000,7330,10405,10415,8716,8716,8726,12094,8725,12095,8716,8716,8726,8717,8725,11620,8724,8717,8717,8717,8715,8717,4482,12160181,10940783
500000,8724,10405,8717,8716,10405,8717,8716,8716,8717,8716,8716,8727,10406,8717,8725,8716,8717,10406,8717,8715,8717,4495,11261193,10709951
500000,7035,10422,8717,10409,8716,8717,8716,8716,8717,8716,8716,8715,8726,8726,10409,8716,10428,10415,10413,12124,8717,6171,12982682,16265329
500000,7035,8725,10406,8716,8727,8717,8721,8726,8717,8716,8725,8720,8717,10406,8716,8716,8729,8731,8717,8715,8717,4482,11078463,12075134
500000,8732,10409,8717,8716,8716,8717,8716,8716,12095,8725,8725,8724,10406,8717,8716,8716,8717,8717,8717,8715,10415,6171,12743594,14354943
500000,7044,12106,8717,8716,10405,8717,8716,10405,10406,8716,8716,8715,8726,8717,10405,8716,10406,8717,8726,10415,8717,4482,13698240,10986200
500000,7035,8725,8717,8716,10405,8726,8716,8716,8717,8728,10405,8724,8717,8717,8725,8716,10410,12094,8717,8715,8742,4482,12916730,11864419
500000,7044,8716,8717,8716,8716,10406,10419,8725,8737,8716,8716,8724,10406,8717,10414,8716,8726,8717,8726,8736,8717,4482,11079336,17602391
500000,7043,10405,8717,10405,8716,10406,10405,8716,8717,8716,8716,8715,9362,10424,8721,10409,8717,8717,8717,10414,8727,4482,14321311,10933820
500000,7045,12094,8717,8716,8716,10406,8716,10413,8729,8716,8716,10404,8727,8726,8716,8716,8737,8717,10406,10404,8717,4491,13838205,14188808
500000,7035,8726,10406,8725,10406,8725,8725,8725,8717,8716,8716,8725,8717,8717,10405,8725,8726,8717,8726,8727,8717,4482,11913353,11268126
500000,8724,10416,8717,8716,8716,10406,8728,10414,10415,8721,8725,8715,10406,8726,8716,8716,8717,8729,8717,10404,8717,7860,12318239,10591914
500000,7035,8725,10415,12094,10405,8717,8725,8734,10406,10405,8716,8715,8717,10405,8716,8716,8717,10411,10414,10404,10406,4491,12507195,11016484
500000,9214,8733,8717,10415,10405,8726,8716,8725,10411,8716,8716,8715,8735,10415,8732,8720,8717,8717,8717,8715,8717,4482,15159227,11589935
500000,8723,8739,8717,8716,8716,8717,8716,8716,8729,8716,8716,8724,8721,8717,8716,8716,8726,8717,8726,8715,10406,4482,13872205,12671041
500000,7035,10405,12095,8716,8716,8726,8716,8716,10416,8716,8725,10404,8721,8717,8716,8727,8717,10415,10415,8724,8717,4491,13215068,16341009
500000,8724,8716,8726,8716,8728,10406,10406,8716,10410,8716,8720,8715,8717,8725,8716,8716,13792,8717,8717,8715,8717,4482,13510596,12121124
500000,10412,12094,10406,10405,8716,8717,8716,10409,8717,8725,8716,8715,10406,8717,8716,8716,10406,8726,12095,12093,8717,4482,11127150,12982839
