5000000,75283,81945,13175,16978701,15604293
5000000,76857,80218,11495,15340033,12751227
5000000,78540,80279,14875,17604687,14582156
5000000,83596,83630,16553,16281114,13082843
5000000,75141,80212,11495,16665923,13448035
5000000,76869,78557,11495,16722307,19533094
5000000,76861,76835,11486,16269269,12040750
5000000,75141,80216,11486,14881529,15933399
5000000,79495,78510,13175,14856646,15300434
5000000,83605,78540,13184,16617573,14228201
5000000,80230,80236,13175,37352539,18295544
5000000,80225,85296,13175,14586853,14706055
5000000,78539,76840,14884,17962720,14199131
5000000,81933,78528,11486,17174260,15399420
5000000,78606,78602,13175,15513880,17618791
5000000,75195,76868,13184,14055528,18117879
5000000,76874,80257,11486,14936556,15607500
5000000,76856,77181,11486,20832812,14737256
5000000,83591,81900,11495,16140631,14554925
5000000,78565,80217,13197,16624835,13797947
