1000000,15727,20798,15720,15737,17409,19106,17410,15836,17420,15719,11486,23149327,10596977
1000000,14047,17419,17409,17419,15720,17407,20788,17409,17409,17408,11504,13140960,10890080
1000000,15727,15738,17418,17408,15720,17416,19111,15719,15729,16426,11495,15121602,10700188
1000000,17427,15720,15720,17408,15720,19096,15732,15728,19099,17416,13174,12983812,13005058
1000000,14065,16222,18309,17408,15729,17417,17410,17417,17409,19118,13175,12671846,10934822
1000000,15727,17409,15720,17416,15844,15718,17410,17421,15720,15728,11486,13204794,10747569
1000000,17416,17419,15720,15719,15720,17416,17410,15719,15720,17419,11507,13336772,10426875
1000000,17416,15720,15720,15737,17410,15728,15730,17409,15720,15728,13175,33920931,13094588
1000000,14038,17427,17418,15719,17418,15718,17429,15719,15720,15719,13175,13793330,12317696
1000000,14038,15720,15729,15734,19108,15718,19110,17420,15720,15719,13175,15378565,11888767
1000000,14038,17409,17427,15719,15729,15718,15730,17417,15720,17408,13175,14161133,11034852
1000000,14038,15720,15720,17417,19098,17415,19112,15719,19098,15719,11486,15893743,14037920
1000000,14067,17409,15720,15729,17030,15718,17431,17408,17409,19097,14863,32212477,10522047
1000000,14038,19103,15720,17408,17409,17433,15721,15729,20787,15719,14874,12122518,15227380
1000000,15727,17419,20787,15719,19099,15737,17410,15728,15720,17409,13175,14786167,12542052
1000000,15727,17409,15720,17408,19098,17408,15737,17408,15720,15719,11490,13227388,12438510
1000000,15727,17434,17409,17426,15729,17419,17410,17408,17413,19097,13183,11142855,12473822
1000000,14038,17409,15729,17417,15720,17416,15721,17408,17420,15719,13175,15374507,14448121
1000000,17416,15720,17409,17426,17418,15718,17419,17408,17418,17427,11486,14994076,12371619
1000000,15727,15720,19099,17420,17418,15718,15730,15719,15720,15728,11495,12464822,12985425
